,Country,gdp_coef,methane_coef,CO2_coef,population_coef,intercept,R2
0,Algeria,-8.68290710741525e-11,0.04563104568022236,1.8533922652895052e-07,1.0807715911068134e-07,19.45550033965199,0.5668038558410359
1,Australia,-4.1748642491704225e-13,-0.03536706159402368,4.276390299970272e-08,-1.1037999994137808e-07,24.47285114699003,0.41762135004715617
2,Austria,-1.6790004654817534e-11,-1.0950357952328007,-6.847778681665084e-07,5.567368562202356e-07,9.743984394687416,0.2734288654851865
3,Bangladesh,-4.198275617936795e-11,0.12044276626633688,2.2256608352402227e-07,-1.102580926993926e-08,24.16346005819195,0.41920067713498055
4,Belgium,-6.410639724906087e-11,-2.0970846980890125,-3.2679282657709065e-07,-1.4465088186050342e-06,36.57106535304639,0.21787142735438092
5,Belize,4.828265117165993e-09,0.1323901994399935,1.8403537001997092e-05,-3.3645057496792642e-06,25.439358376816056,0.17327707659148583
6,Benin,3.34970297656191e-10,0.8166460416781075,-4.23750506716594e-07,1.4821543946660422e-08,26.781314104210416,0.49903566496978147
7,Botswana,-2.192839900911136e-09,-0.09630826107322492,-1.5203057742085415e-06,2.0540814590735175e-06,21.561385694519615,0.44087223159091493
8,Burkina Faso,-5.378882027550569e-10,0.5372642449531324,-1.1603067265201724e-06,6.252303640804581e-08,27.008446794115873,0.4572298899249112
9,Burundi,-2.5867126701143728e-09,0.4962284248249905,-5.0505154392776835e-05,1.9164225498309652e-07,20.456440028446405,0.3862278279253549
10,Cameroon,3.4572443238030135e-10,0.4024274176880436,-1.6880256975949453e-07,-5.5710513419831273e-08,24.009473832405487,0.5254261945989882
11,Canada,1.4788736823584873e-11,0.33888416470920585,-1.7918349430718435e-07,3.153453871050141e-07,-16.388007162417257,0.5325396926701911
12,Central African Republic,-1.5696968546643355e-09,0.12140952962077961,-3.173827682782761e-05,2.618155671696338e-07,25.04341700619755,0.1856384021685169
13,Chad,-5.567429097024557e-10,0.08040065957412124,1.557661578349161e-05,-1.3093667192122836e-08,27.19445198199653,0.4945142333732585
14,Chile,4.149278271769104e-11,0.8089041408177509,-1.0465100288889466e-07,-1.0251369908862798e-07,8.543516341019718,0.19511605324200887
15,China,1.2870183032811637e-12,0.00019828116305091212,-5.553606137136532e-10,5.07854172912086e-10,6.818765235269999,0.19624068146538365
16,Colombia,-6.191356167210711e-11,0.17530226709509986,3.7031503123037874e-07,2.4405835338211273e-08,20.303623656065284,0.3116295745467451
17,Costa Rica,4.596778385424995e-11,-0.5708749960071602,4.6293760520126586e-07,-1.8905283822361698e-07,27.342172761108287,0.05683031860417276
18,Dominican Republic,-7.10406600390613e-12,0.025208558046651394,5.570961309306847e-07,-6.43189748841004e-08,25.98954690960316,0.28924405926406027
19,Ecuador,-6.466674338378424e-13,0.26170277900829525,-7.313600265503037e-08,-5.586701437787189e-08,22.077885539533426,0.050806498686423174
20,Fiji,-4.907898165666011e-10,6.473834353123867,4.841189570200029e-06,9.53925013178196e-07,23.143509392947827,0.2913067027010535
21,Finland,3.814082362192416e-11,-0.39927175129320386,-3.252769172023769e-07,-1.9043821795878033e-07,5.2009175057811605,0.2107676781446286
22,France,-1.1105652673748332e-11,-0.5436905111722431,-7.38274801540519e-08,-1.4620092073533712e-07,36.75000593826895,0.2089638571192668
23,Gabon,4.0414890681524985e-10,-1.0643333817000546,-2.0314802408351663e-06,-5.864718681167301e-07,26.414263658476465,0.4410832228746442
24,Ghana,-8.898909523307655e-11,0.14215312025251678,5.180904591626048e-07,2.1355061743737985e-08,26.36141531087988,0.558605096696628
25,Greece,3.5179136703779444e-11,1.6333886575889147,-5.310259563507774e-07,1.2494206172119687e-06,1.2911843147008586,0.3608312051187985
26,Guatemala,2.2042452596041658e-10,-0.5070314049145586,6.161859542915513e-07,-6.017945174497769e-08,24.755093212927726,0.11522307171521118
27,Guyana,-2.0904962772021452e-11,0.9431649704707533,7.103690714715271e-07,3.411451140459947e-05,0.8778854558805627,0.18437633269138087
28,Haiti,-5.320093898872371e-10,0.6650124405194309,4.248746000843529e-06,-4.658759423089992e-08,26.47461556561648,0.27487384028384154
29,Honduras,-3.672996124064233e-10,0.6117261222963537,1.07889807494899e-06,-7.574274675069291e-08,24.537415381634407,0.17426145530001347
30,Iceland,3.678563521662176e-10,13.2072402846553,-2.707398995151688e-06,1.1709381074211043e-05,-2.5193247274256207,0.389969114272805
31,India,-8.632119546510854e-12,-0.0033147773711625452,1.6254907213562982e-08,4.957343437683728e-10,23.589399095361824,0.4942422006789121
32,Ireland,5.78778304859373e-11,0.9546889114240228,-1.7663427331652317e-07,-6.08986007714737e-07,8.574063493544898,0.4084533568120414
33,Italy,-5.38327451337572e-12,-0.5763904062617075,-4.0728649305962956e-08,-1.6367832986365813e-07,33.22741938533791,0.20095353601491994
34,Jamaica,3.929854319459694e-10,0.32291747593246106,3.6585952949293935e-07,-5.171546931071295e-07,27.47595198861752,0.10159586984220836
35,Japan,-2.4102598266985134e-12,-0.18343262843448283,-2.167247430264788e-08,-2.6272793131286537e-08,20.758590390337808,0.12990985523982868
36,Kenya,-2.4697252397595418e-11,0.024138963176192775,3.9876257958649974e-07,2.108242320580973e-08,23.62643057948307,0.583809244297255
37,Lesotho,-1.158198385263006e-09,1.1814052432121465,-4.89874126251445e-06,4.062016087952605e-07,13.974994276468642,0.02404267520402592
38,Luxembourg,-1.443735689380984e-10,-91.17115164171425,4.4122934195185034e-07,-3.76814628563805e-06,25.339825868676044,0.1219264028074647
39,Madagascar,-5.228158960205812e-10,0.7050013986853897,-3.3144701130401893e-06,6.962717312141307e-08,19.906277846665862,0.4362029714679755
40,Malawi,1.4607062845667854e-09,-0.3424901055043283,-2.874673487154679e-05,3.1260316486777445e-08,24.263964242415863,0.22952502825881338
41,Malaysia,2.5762471594719685e-12,0.2547001409662083,-8.352516209612988e-08,2.0460369689564084e-08,24.21809697000222,0.5519134767819861
42,Mexico,1.0483115982662688e-11,0.00128284564840323,-1.2249482642694667e-08,-2.0008236792917353e-09,21.158469031201946,0.3139029511346325
43,Morocco,-7.563844037598869e-11,0.1583759683288963,1.2357674789705636e-07,8.703011711015009e-08,15.586236819156369,0.3709208373475179
44,Nepal,-3.286376950510781e-10,0.41671881192090954,-2.5020661061977724e-07,-3.238424674661535e-08,14.047930305143025,0.3828051219125078
45,Netherlands,-2.5550833150802407e-11,-0.9370538512767543,-8.163444849811084e-07,-9.105715762424904e-07,43.75475876628626,0.48403186668465037
46,Nicaragua,2.0361401485719386e-10,0.1781869383404574,1.5117598767622786e-06,-3.6974944612669753e-07,27.626269683774414,0.14676975408481463
47,Niger,-5.094581507904233e-10,0.3465045264718891,5.794002829292725e-07,1.5509826264075447e-08,26.84148627811406,0.5101322208016291
48,Nigeria,2.7859242749771093e-11,-0.04078540844019525,2.4198590689361767e-08,-4.856442470489994e-09,28.696911441162666,0.5516905876195064
49,Norway,-2.8366472496382653e-11,-9.715107346528796,4.80162629888323e-07,-1.3054498695716515e-06,20.87292303288324,0.32861619382548224
50,Pakistan,-2.376836170989022e-10,0.31461300177700013,-1.550263823159022e-07,1.1017547547340069e-08,15.780782328654215,0.5908326821082914
51,Panama,-1.1463870177350238e-10,0.715727580638396,8.67738924234244e-07,-2.1306989075581667e-07,26.53612988270389,0.05296805487770817
52,Papua New Guinea,-2.3593539342693633e-10,0.03896256644374924,-1.6707622489262815e-07,1.5248960407287117e-07,24.198580265904315,0.18335808254331132
53,Peru,-1.476054849600795e-11,-0.015977180463450674,8.537914400573734e-08,-3.648935066502047e-08,21.325965108519508,0.128352143030393
54,Philippines,-1.5510808460873185e-11,-0.12929576072717694,2.893633513056984e-07,5.180222751486262e-09,27.05135995901776,0.38879257806381373
55,Portugal,2.572789507438969e-11,2.5271433433468973,-5.028848797141524e-07,7.914219466891147e-08,9.111677124034442,0.20853981383286468
56,Rwanda,1.3891461296292215e-10,-2.8106929893476993,-1.518259874630101e-05,2.540685888968303e-07,20.395535454396448,0.328792579073254
57,Senegal,-1.4163168870986228e-10,-0.09857182504772469,5.75206029610257e-07,7.51968380380907e-08,28.15388500187825,0.2496471938503969
58,Seychelles,-9.669908170658377e-09,185.08556640136896,-2.6779969457710717e-06,-9.054453901220155e-06,25.452353662501466,0.5599950949408052
59,Sierra Leone,1.778557718366863e-09,0.2563611338605829,-1.0734098384858433e-05,4.718943090931414e-08,26.57876631253152,0.28601205586014433
60,Singapore,-4.549035373330351e-11,1.996959314191568,8.008586784894956e-08,1.8953700215149908e-08,26.268931871225345,0.3664260373723308
61,South Africa,3.260436271063717e-11,-0.2056322230387176,-3.110049663078491e-08,-4.176952841617398e-08,22.326433279225125,0.10339943605485502
62,Spain,-2.150226151872583e-13,0.4995411357781467,-5.4431007351007725e-08,1.0036359226046397e-08,10.552724106404757,0.169453674635626
63,Sri Lanka,1.1572703042375354e-10,-0.11700175093575411,-4.5430646354470627e-07,-5.0722554845797745e-09,28.21135102942359,0.37738233194382687
64,Sudan,-1.4766261810138694e-10,0.055204831853969454,9.989194870777336e-07,-1.8277526574670353e-09,26.785375769417403,0.4944454330810433
65,Suriname,-2.9041236515340274e-10,3.948135266375268,-4.928870229562678e-06,-4.5716336709497414e-07,26.827049120179485,0.3298036975265337
66,Sweden,1.660208607344491e-11,0.7218134490513659,-1.5186975769308298e-06,-1.285730331772924e-06,20.058534467687732,0.22321165375937913
67,Thailand,1.9251780983132846e-11,-0.06845285323004263,2.4253692131129595e-08,3.6761113127567285e-08,25.046188887713576,0.24580914429732614
68,Togo,-1.0378830181558684e-09,1.7324702682561148,1.2427142466152506e-06,2.6813465059615223e-09,26.246336104963643,0.6323344657322755
69,Turkey,6.556169196237102e-12,-0.14301145509661856,4.1392820606814854e-08,3.114464396771458e-08,11.043667095021453,0.3209861823537661
70,Uganda,-1.0678604619542662e-11,0.2029530619988314,-2.3711901380969534e-06,1.3317557904148359e-08,22.745137945743934,0.45224557775305074
71,United Kingdom,7.275987291003062e-12,0.021571067810028155,-3.7177273714219055e-08,-1.354827095142613e-07,17.286504255940848,0.3066695858178591
72,United States,-1.6987183852869503e-12,-0.05863303899879416,-7.650681669570596e-09,1.8046109988506358e-09,25.963244799379552,0.4125829847072672
73,Uruguay,-2.413841447251839e-10,-0.09507958245055313,1.8074183913204696e-06,8.024843258038634e-07,15.395966641283987,0.15883277293986486
74,Zambia,-6.924983495006353e-10,0.553649566829675,-2.341546967890239e-06,8.908941608076484e-08,19.331725576430564,0.3438205387752513
75,Zimbabwe,-3.130932427677299e-10,-0.3987461760733047,1.3761977147889855e-08,-9.663750973357353e-08,24.180534844980397,0.24227335720312804
